Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package
R4,75.14,4,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,79.14,27.43,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,42.66,33.91,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,31.35,46.06,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,6.66,100.45,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,46.66,33.91,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49,107.5,180,RESET_BUTTON,MYBUTTON
RX,9.89,22.71,0,TPTP20R,TP20R
R_BOOT,18.82,107.43,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,95.9,61.52,180,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,58.83,107.42,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,81.52,30.1,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,43.33,107.28,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SCK,13.11,8.87,0,TPTP20R,TP20R
SENSOR2,158.48,11.15,90,BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,71.35,5.06,180,,SJ
TX,6.21,22.72,0,TPTP20R,TP20R
U1,38.2,54,0,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.76,54,90,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,92,54,270,DS3231SN#,SOIC127P1032X265-16N
U4,139,53,0,MAX17048G+T10,SON50P200X200X80-9N
VBAT,24.69,25.13,0,TPTP20R,TP20R
VBUS,24.2,8.32,0,TPTP20R,TP20R
